mix,chronic,steps,max_rho,line for max_rho
l2rpn_neurips_2020_track2_x1,Scenario_august_25,693,1.2543632,148
l2rpn_neurips_2020_track2_x1,Scenario_august_26,114,2.216805,19
l2rpn_neurips_2020_track2_x1,Scenario_august_30,405,1.5030367,148
l2rpn_neurips_2020_track2_x1,Scenario_august_31,122,2.0874734,48
l2rpn_neurips_2020_track2_x1,Scenario_august_33,1665,2.454929,142
l2rpn_neurips_2020_track2_x1,Scenario_august_35,402,2.4393747,19
l2rpn_neurips_2020_track2_x1,Scenario_august_37,2016,0.81133676,37
l2rpn_neurips_2020_track2_x1,Scenario_august_44,693,2.0226438,146
l2rpn_neurips_2020_track2_x1,Scenario_december_08,675,1.0327386,83
l2rpn_neurips_2020_track2_x1,Scenario_december_13,666,1.0642613,83
l2rpn_neurips_2020_track2_x1,Scenario_december_25,1004,2.9595356,125
l2rpn_neurips_2020_track2_x1,Scenario_december_26,964,1.016627,83
l2rpn_neurips_2020_track2_x1,Scenario_december_30,673,1.0043691,83
l2rpn_neurips_2020_track2_x1,Scenario_december_31,735,1.6530528,81
l2rpn_neurips_2020_track2_x1,Scenario_december_33,695,1.0105994,83
l2rpn_neurips_2020_track2_x1,Scenario_december_35,967,1.005184,83
l2rpn_neurips_2020_track2_x1,Scenario_december_37,676,1.0066752,83
l2rpn_neurips_2020_track2_x1,Scenario_december_44,677,1.0005437,83
l2rpn_neurips_2020_track2_x1,Scenario_february_08,466,1.0616009,86
l2rpn_neurips_2020_track2_x1,Scenario_february_13,524,1.0288308,146
l2rpn_neurips_2020_track2_x1,Scenario_february_25,161,1.1339679,86
l2rpn_neurips_2020_track2_x1,Scenario_february_26,1943,1.0149257,149
l2rpn_neurips_2020_track2_x1,Scenario_february_30,282,1.1518012,86
l2rpn_neurips_2020_track2_x1,Scenario_february_31,510,1.0205544,146
l2rpn_neurips_2020_track2_x1,Scenario_february_33,177,1.0765504,86
l2rpn_neurips_2020_track2_x1,Scenario_february_35,115,1.1249355,86
l2rpn_neurips_2020_track2_x1,Scenario_february_37,513,1.0274082,146
l2rpn_neurips_2020_track2_x1,Scenario_february_44,808,1.1021147,146
l2rpn_neurips_2020_track2_x1,Scenario_january_08,2016,0.7915454,135
l2rpn_neurips_2020_track2_x1,Scenario_january_13,2016,0.7855761,156
l2rpn_neurips_2020_track2_x1,Scenario_january_25,2016,0.7842878,106
l2rpn_neurips_2020_track2_x1,Scenario_january_26,1254,1.018944,83
l2rpn_neurips_2020_track2_x1,Scenario_january_30,2016,0.80051726,156
l2rpn_neurips_2020_track2_x1,Scenario_january_31,2016,0.80058175,123
l2rpn_neurips_2020_track2_x1,Scenario_january_33,1323,1.1639655,126
l2rpn_neurips_2020_track2_x1,Scenario_january_35,979,1.0174298,83
l2rpn_neurips_2020_track2_x1,Scenario_january_37,2016,0.76654965,156
l2rpn_neurips_2020_track2_x1,Scenario_january_44,672,1.0220593,83
l2rpn_neurips_2020_track2_x1,Scenario_july_08,402,3.1759667,14
l2rpn_neurips_2020_track2_x1,Scenario_july_13,1557,1.5352683,146
l2rpn_neurips_2020_track2_x1,Scenario_july_25,1061,1.3534179,148
l2rpn_neurips_2020_track2_x1,Scenario_july_26,981,1.1577269,148
l2rpn_neurips_2020_track2_x1,Scenario_july_30,2016,0.89494413,74
l2rpn_neurips_2020_track2_x1,Scenario_july_31,981,1.7173923,148
l2rpn_neurips_2020_track2_x1,Scenario_july_33,82,1.0223405,39
l2rpn_neurips_2020_track2_x1,Scenario_july_35,785,1.5265722,148
l2rpn_neurips_2020_track2_x1,Scenario_july_37,1266,4.2645392,14
l2rpn_neurips_2020_track2_x1,Scenario_july_44,396,0.77903694,74
l2rpn_neurips_2020_track2_x1,Scenario_june_08,1906,1.0319349,141
l2rpn_neurips_2020_track2_x1,Scenario_june_13,662,1.0088606,37
l2rpn_neurips_2020_track2_x1,Scenario_june_25,159,1.1694007,154
l2rpn_neurips_2020_track2_x1,Scenario_june_26,2016,0.8036195,74
l2rpn_neurips_2020_track2_x1,Scenario_june_30,1064,1.4660994,38
l2rpn_neurips_2020_track2_x1,Scenario_june_31,2016,0.85506314,37
l2rpn_neurips_2020_track2_x1,Scenario_june_33,658,1.013882,37
l2rpn_neurips_2020_track2_x1,Scenario_june_35,650,1.0189217,39
l2rpn_neurips_2020_track2_x1,Scenario_june_37,1260,0.7973766,74
l2rpn_neurips_2020_track2_x1,Scenario_june_44,231,1.5020981,38
l2rpn_neurips_2020_track2_x1,Scenario_march_08,2016,0.84913164,37
l2rpn_neurips_2020_track2_x1,Scenario_march_13,2016,0.8599305,156
l2rpn_neurips_2020_track2_x1,Scenario_march_25,2016,0.8620325,156
l2rpn_neurips_2020_track2_x1,Scenario_march_26,2016,0.87017137,37
l2rpn_neurips_2020_track2_x1,Scenario_march_30,2016,0.8648583,37
